neighborhood,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,age,has_garage,has_basement,has_renovation,distance_to_downtown_km,walk_score,latitude,longitude,price
Fairview,House,5,2,2667,5732,1949,76,0,1,0,1.8,92,49.2687,-123.1234,1856000
Fairview,House,5,3,2759,4174,2004,21,0,0,1,2.6,80,49.2633,-123.1253,1949000
Renfrew,Condo,1,1,839,0,2009,16,0,0,1,9.9,47,49.2568,-123.0528,403000
Mount Pleasant,House,5,2,4205,3659,1965,60,1,1,0,4.4,64,49.2563,-123.1053,1853000
Gastown,Townhouse,3,2,1004,2767,1949,76,1,0,0,0.5,90,49.2824,-123.0992,960000
Shaughnessy,Condo,1,1,770,0,1956,69,0,0,1,5.2,57,49.2515,-123.1413,792000
West End,Townhouse,3,1,1923,1643,2012,13,0,0,1,0.9,92,49.2838,-123.1322,1305000
Dunbar,House,3,3,3465,3410,1987,38,1,1,0,11.5,39,49.247,-123.1834,2334000
Mount Pleasant,Condo,2,1,488,0,1936,89,0,0,1,3.2,60,49.2648,-123.0889,549000
Riley Park,House,3,2,3597,4265,1943,82,1,1,1,5.2,69,49.2498,-123.1083,1708000
Hastings-Sunrise,House,4,3,2906,6506,1946,79,0,1,0,6.4,56,49.2794,-123.0441,1446000
Mount Pleasant,Townhouse,2,2,1806,2503,1946,79,0,0,0,5.1,67,49.2656,-123.1115,1053000
West End,Condo,2,1,1014,0,1941,84,1,0,1,1.8,96,49.2866,-123.1332,808000
Kitsilano,Townhouse,3,2,1138,2561,1935,90,1,0,0,6.2,57,49.2635,-123.1621,1012000
Marpole,Townhouse,2,1,1660,2863,1973,52,0,0,1,8.4,60,49.2091,-123.1276,711000
Kitsilano,House,5,2,2372,3460,1951,74,0,0,0,5.8,54,49.2572,-123.1636,1739000
Marpole,Townhouse,2,1,1469,1448,2015,10,1,0,0,6.3,67,49.2082,-123.1239,794000
Shaughnessy,Condo,2,1,1211,0,1948,77,0,0,0,6.9,49,49.2351,-123.1346,1020000
Yaletown,Townhouse,3,1,1823,1535,1979,46,0,0,0,2.4,72,49.2754,-123.1285,1295000
Point Grey,House,5,2,3771,6259,1958,67,0,1,1,7.8,50,49.2662,-123.1962,2541000
Sunset,Condo,2,1,1326,0,2011,14,0,0,0,10.2,32,49.2204,-123.0812,618000
Riley Park,Condo,2,1,1034,0,1956,69,1,0,1,5.7,67,49.2501,-123.1079,705000
Renfrew,Townhouse,2,2,1306,2190,1964,61,1,0,0,8.6,42,49.2524,-123.0536,612000
Oakridge,House,3,2,1800,5003,1998,27,1,0,1,5.8,73,49.2147,-123.1227,1983000
Hastings-Sunrise,Condo,1,1,1400,0,1969,56,0,0,1,6.2,50,49.2768,-123.0406,516000
Dunbar,Condo,2,1,742,0,1927,98,0,0,0,9.1,45,49.248,-123.183,637000
Point Grey,Condo,1,1,1393,0,1936,89,0,0,0,7.2,42,49.2711,-123.2033,936000
Riley Park,Townhouse,3,2,1658,1423,1977,48,0,0,0,5.8,71,49.2315,-123.1069,938000
West End,House,4,2,3419,6089,1958,67,0,1,0,1.0,79,49.296,-123.1382,1913000
Riley Park,House,5,2,2991,4081,1952,73,0,1,0,6.7,51,49.2402,-123.102,1440000
Mount Pleasant,Townhouse,3,2,1739,1945,1935,90,0,0,0,5.3,63,49.2645,-123.0982,938000
Hastings-Sunrise,Condo,2,1,898,0,1922,103,1,0,0,5.9,59,49.2664,-123.0337,484000
Gastown,House,4,3,2993,3129,1927,98,1,1,0,1.1,88,49.2935,-123.105,1773000
Kitsilano,Condo,2,1,809,0,2008,17,0,0,0,6.5,63,49.2735,-123.1634,816000
Strathcona,Townhouse,2,2,1891,1505,2011,14,0,0,0,2.2,76,49.2729,-123.0896,738000
Mount Pleasant,House,4,3,3507,3573,1964,61,1,1,1,4.0,74,49.255,-123.0878,2102000
Riley Park,House,4,2,3946,7962,1972,53,1,0,0,5.3,81,49.2474,-123.0948,1756000
Sunset,Condo,1,1,1147,0,1952,73,0,0,0,8.1,50,49.2217,-123.0973,445000
Point Grey,Condo,2,1,962,0,1935,90,0,0,0,8.6,33,49.2648,-123.205,960000
Coal Harbour,Condo,2,1,1143,0,2015,10,0,0,0,2.2,78,49.3015,-123.115,956000
Strathcona,House,5,3,3026,3216,2010,15,1,0,0,1.7,86,49.2767,-123.0748,1546000
Killarney,House,3,3,3384,4440,1960,65,1,1,0,15.4,30,49.2205,-123.0453,1128000
Strathcona,Condo,2,1,1062,0,1981,44,0,0,0,0.9,87,49.2831,-123.0944,463000
Sunset,Condo,2,1,959,0,1938,87,1,0,0,9.9,31,49.231,-123.0836,403000
Coal Harbour,Condo,2,1,1058,0,1929,96,0,0,1,0.5,97,49.2963,-123.12,980000
Dunbar,House,5,2,4345,6312,1998,27,1,0,0,9.9,45,49.2476,-123.1847,2245000
Kerrisdale,Townhouse,3,1,1482,1841,1992,33,0,0,0,7.2,58,49.238,-123.1595,1188000
Strathcona,Condo,1,1,1015,0,1932,93,0,0,0,2.6,69,49.2748,-123.0921,400000
West End,House,5,3,2587,6916,2007,18,0,0,1,0.9,81,49.2922,-123.1271,2258000
Sunset,Townhouse,3,1,1840,1348,1999,26,0,0,1,8.5,42,49.2247,-123.0913,791000
Grandview,Condo,1,1,676,0,2017,8,1,0,1,5.2,57,49.2695,-123.0662,560000
Gastown,Townhouse,3,2,1789,2975,1948,77,0,0,1,1.7,80,49.2834,-123.1088,1064000
Point Grey,Townhouse,3,1,1701,2188,1969,56,0,0,1,8.3,60,49.2652,-123.1967,1326000
Oakridge,Condo,1,1,739,0,2001,24,0,0,1,6.1,60,49.2191,-123.114,668000
Kerrisdale,Condo,1,1,1161,0,2015,10,0,0,0,7.8,52,49.2312,-123.1578,757000
Yaletown,Townhouse,2,2,1258,2968,1973,52,0,0,0,1.0,66,49.2802,-123.1227,1254000
West End,Townhouse,3,2,1240,1661,1921,104,0,0,0,0.5,94,49.2916,-123.1437,948000
Fairview,Condo,1,1,955,0,2005,20,0,0,1,1.8,83,49.259,-123.1299,774000
Dunbar,House,5,2,3734,4172,1974,51,1,0,1,10.4,37,49.2461,-123.1815,2040000
West End,Condo,1,1,1195,0,1942,83,0,1,0,1.5,87,49.2905,-123.1376,651000
Dunbar,Townhouse,3,2,1686,1822,1966,59,0,0,0,8.8,54,49.2451,-123.1908,1067000
Shaughnessy,House,4,2,2543,7887,1948,77,0,1,0,3.8,81,49.2475,-123.1347,2317000
Kerrisdale,Condo,1,1,903,0,1940,85,0,0,0,7.2,54,49.2322,-123.1549,709000
Yaletown,Condo,2,1,595,0,1997,28,0,0,0,0.5,85,49.2764,-123.1159,665000
Fairview,Condo,2,1,867,0,2002,23,0,0,1,1.8,79,49.2668,-123.1297,772000
Mount Pleasant,Townhouse,2,2,1586,2595,1945,80,0,0,0,4.2,81,49.2656,-123.0983,754000
Strathcona,Townhouse,2,1,2166,2867,1929,96,1,0,0,4.1,61,49.2749,-123.0905,696000
Hastings-Sunrise,Condo,2,1,1307,0,1934,91,0,0,1,7.5,34,49.2827,-123.0557,441000
Marpole,Condo,1,1,753,0,2009,16,0,0,0,8.5,42,49.2083,-123.1303,414000
West End,Townhouse,3,1,1816,1817,1936,89,1,0,1,0.9,88,49.2867,-123.129,1308000
Marpole,Townhouse,3,2,1841,1562,1933,92,0,0,0,7.1,59,49.2098,-123.1373,875000
West End,Townhouse,3,2,2185,1671,1968,57,0,0,0,1.4,84,49.2895,-123.1311,1224000
Kerrisdale,Condo,1,1,1033,0,1965,60,0,0,0,9.8,36,49.2413,-123.1607,719000
Gastown,Condo,2,1,832,0,1990,35,0,0,1,3.5,80,49.2755,-123.1085,619000
Killarney,Condo,2,1,904,0,1949,76,1,0,0,13.4,35,49.2257,-123.0346,467000
Point Grey,House,4,3,3798,5753,2003,22,0,0,0,9.1,50,49.2574,-123.2037,2573000
Riley Park,Condo,2,1,609,0,1937,88,0,0,0,5.9,55,49.2419,-123.0974,406000
Renfrew,House,5,2,2369,7138,1988,37,0,1,0,10.9,30,49.2515,-123.0442,1197000
Renfrew,Condo,2,1,751,0,1933,92,1,0,1,11.9,31,49.2549,-123.0403,407000
Kitsilano,Condo,2,1,1054,0,2004,21,0,0,0,4.8,66,49.2616,-123.1661,794000
Sunset,Condo,1,1,865,0,1927,98,1,0,0,11.6,30,49.2202,-123.0853,449000
Oakridge,Townhouse,3,1,1494,1325,1939,86,0,0,1,6.8,39,49.2342,-123.1162,948000
Sunset,House,3,3,2766,5287,1952,73,1,1,1,8.2,45,49.2231,-123.099,1429000
Killarney,Condo,2,1,691,0,2017,8,0,0,0,13.0,30,49.2239,-123.0492,473000
Killarney,Condo,2,1,1231,0,2007,18,0,0,1,11.5,33,49.2159,-123.0443,574000
Dunbar,Townhouse,3,1,1324,1677,1999,26,0,0,1,8.7,53,49.2536,-123.176,1121000
Marpole,Condo,1,1,970,0,1995,30,0,0,0,9.8,44,49.2089,-123.1243,503000
Gastown,Condo,1,1,1153,0,1924,101,1,0,1,0.9,92,49.2932,-123.1094,690000
Kerrisdale,Condo,2,1,834,0,1923,102,1,0,1,7.5,49,49.2311,-123.1575,684000
Point Grey,Condo,1,1,1323,0,1972,53,0,1,0,6.7,36,49.2727,-123.1925,972000
Kerrisdale,House,4,3,2408,7690,1987,38,1,1,0,9.9,33,49.2293,-123.1592,1802000
Dunbar,Townhouse,3,2,1298,1630,2020,5,0,0,1,7.7,60,49.2568,-123.1947,1152000
Marpole,House,4,3,3051,5371,1958,67,1,1,0,8.3,50,49.2165,-123.132,1561000
Dunbar,Condo,1,1,560,0,1968,57,0,0,1,9.9,41,49.2493,-123.2006,620000
Grandview,Condo,2,1,1349,0,1946,79,0,0,0,5.5,56,49.264,-123.0634,606000
Riley Park,House,5,3,2711,7859,1956,69,1,1,0,6.0,69,49.2443,-123.1086,1907000
Killarney,Townhouse,2,2,1420,1798,1953,72,0,1,0,12.4,30,49.2168,-123.0467,598000
Sunset,Condo,1,1,694,0,2004,21,0,0,1,10.0,45,49.214,-123.0938,417000
Strathcona,House,4,3,3042,5677,1929,96,1,0,0,4.3,73,49.2783,-123.0902,1278000
West End,House,4,2,2484,5024,1984,41,1,0,0,0.5,100,49.2832,-123.1349,1867000
Killarney,Condo,1,1,905,0,2006,19,0,0,1,13.9,30,49.2259,-123.0428,465000
Hastings-Sunrise,Townhouse,3,1,2156,2519,1958,67,0,0,1,6.2,58,49.2794,-123.047,813000
Hastings-Sunrise,Townhouse,3,2,1985,1506,2000,25,0,1,1,6.1,59,49.2882,-123.0437,889000
Marpole,Townhouse,2,1,1607,1669,1978,47,1,0,0,7.1,62,49.2092,-123.1264,843000
Gastown,Condo,2,1,661,0,1957,68,1,0,0,2.7,78,49.287,-123.0935,556000
Dunbar,Townhouse,3,1,1436,1415,1957,68,1,0,1,8.6,47,49.2566,-123.1866,1123000
Shaughnessy,Condo,2,1,818,0,1960,65,0,0,1,7.1,50,49.2505,-123.134,933000
Mount Pleasant,Townhouse,3,2,1558,1591,2005,20,0,0,1,5.2,51,49.2647,-123.1028,1067000
Hastings-Sunrise,House,3,3,2864,6520,2010,15,1,1,0,5.3,61,49.2719,-123.0466,1664000
Point Grey,Condo,1,1,811,0,1996,29,0,0,0,7.0,45,49.2668,-123.2017,897000
Marpole,Condo,2,1,978,0,1941,84,0,0,1,8.5,61,49.2144,-123.1348,510000
Riley Park,Condo,2,1,1037,0,1999,26,0,1,1,5.2,78,49.2449,-123.1084,723000
Killarney,Condo,2,1,913,0,1985,40,0,0,0,12.4,30,49.216,-123.0426,406000
Marpole,Townhouse,2,1,1668,2654,2005,20,0,0,1,8.3,61,49.215,-123.1321,833000
West End,House,4,3,3065,4463,1929,96,1,1,0,0.7,84,49.2842,-123.1208,1926000
Mount Pleasant,Condo,1,1,1024,0,2011,14,0,0,0,3.7,68,49.2649,-123.1017,653000
Mount Pleasant,Townhouse,3,2,2200,2878,1973,52,0,0,0,4.2,61,49.2674,-123.0963,992000
Yaletown,Townhouse,3,2,1999,1431,1950,75,1,0,0,2.3,67,49.28,-123.1193,1292000
Fairview,Condo,2,1,760,0,2004,21,1,0,0,1.3,65,49.2696,-123.1227,696000
Coal Harbour,Condo,2,1,744,0,1935,90,1,0,0,0.7,85,49.287,-123.1234,963000
Coal Harbour,Condo,2,1,1203,0,1930,95,0,0,0,0.8,76,49.2898,-123.1227,920000
Killarney,Condo,2,1,465,0,1928,97,1,0,0,12.1,30,49.2307,-123.0435,363000
Point Grey,Condo,2,1,1226,0,2016,9,0,0,0,8.9,45,49.2695,-123.2025,1054000
Gastown,Condo,1,1,1001,0,2024,1,1,0,0,1.8,71,49.2923,-123.1018,779000
Mount Pleasant,House,4,2,3536,5486,1943,82,1,0,1,5.0,55,49.2578,-123.0982,1900000
Riley Park,House,3,2,3598,4266,1998,27,1,0,0,5.1,58,49.2332,-123.108,1797000
Hastings-Sunrise,House,4,2,3042,4294,1968,57,0,1,0,8.0,49,49.2818,-123.0421,1343000
Kitsilano,Condo,1,1,788,0,1974,51,1,0,0,5.4,53,49.2747,-123.1743,694000
Mount Pleasant,Condo,2,1,1025,0,1992,33,0,0,1,1.2,83,49.2567,-123.0974,746000
Shaughnessy,Townhouse,3,1,1751,2670,1923,102,0,0,0,5.4,71,49.2437,-123.1376,1348000
Fairview,Condo,2,1,894,0,1976,49,1,0,1,2.5,85,49.2582,-123.1237,749000
Strathcona,House,5,3,3036,3230,2001,24,0,1,1,3.6,85,49.2769,-123.0877,1341000
Mount Pleasant,Townhouse,3,1,1448,1380,1995,30,0,0,1,3.1,72,49.2644,-123.1142,940000
Sunset,House,5,2,3422,6637,1966,59,0,1,0,8.2,63,49.2192,-123.0893,1390000
Mount Pleasant,Condo,1,1,978,0,1986,39,0,0,0,3.0,85,49.2666,-123.0999,641000
Grandview,Condo,1,1,648,0,2004,21,0,1,0,7.0,51,49.2699,-123.0724,439000
Gastown,Townhouse,2,1,1784,2395,1994,31,0,0,1,0.5,87,49.2887,-123.1222,1018000
Hastings-Sunrise,Townhouse,3,1,1253,1833,2011,14,1,0,0,6.3,53,49.2796,-123.0433,758000
Point Grey,Condo,1,1,450,0,1957,68,1,0,0,5.8,67,49.2694,-123.2026,825000
Coal Harbour,Condo,2,1,1092,0,1942,83,0,0,0,3.3,62,49.2897,-123.1236,902000
Killarney,Condo,1,1,854,0,1978,47,0,0,0,11.9,34,49.2291,-123.0498,354000
West End,Townhouse,3,1,1337,2116,1956,69,1,0,0,1.3,90,49.2826,-123.1377,1104000
Shaughnessy,Condo,2,1,876,0,1968,57,0,0,1,6.4,55,49.2452,-123.1395,970000
Point Grey,House,5,3,2479,6848,1984,41,1,0,0,7.1,53,49.2685,-123.1973,2660000
Oakridge,Townhouse,3,1,1624,1289,1985,40,0,0,0,6.5,57,49.227,-123.1154,1002000
West End,Townhouse,2,1,1856,2401,1944,81,0,0,0,2.1,82,49.2867,-123.1346,945000
Riley Park,Condo,1,1,930,0,1924,101,0,0,1,6.4,60,49.2471,-123.1,508000
Strathcona,Condo,2,1,885,0,1958,67,0,0,0,2.6,76,49.2802,-123.0864,409000
Strathcona,Condo,1,1,623,0,1960,65,0,0,0,4.1,65,49.2759,-123.0959,347000
Strathcona,Condo,1,1,928,0,1944,81,1,0,0,2.4,81,49.2847,-123.0851,364000
Marpole,Townhouse,3,2,1624,2258,1951,74,0,0,1,8.0,49,49.2073,-123.1305,884000
Hastings-Sunrise,Townhouse,2,1,1423,2005,1999,26,0,0,1,7.2,52,49.275,-123.038,670000
Point Grey,House,3,3,4218,4029,2011,14,1,1,0,8.3,56,49.2607,-123.1881,2530000
Oakridge,Condo,1,1,1238,0,2007,18,1,0,1,5.6,49,49.2339,-123.1152,858000
Killarney,Condo,2,1,921,0,2018,7,0,0,0,13.7,30,49.2154,-123.0445,467000
Riley Park,Condo,1,1,1245,0,1945,80,0,0,0,5.2,58,49.2446,-123.0961,601000
Mount Pleasant,House,3,2,2770,5561,1993,32,1,0,0,4.5,62,49.2586,-123.0989,1737000
Killarney,Condo,2,1,1055,0,2011,14,0,0,0,13.2,30,49.2404,-123.0382,448000
Kerrisdale,Townhouse,3,1,1965,2113,2015,10,1,0,1,7.6,56,49.2293,-123.1581,1521000
Strathcona,House,4,3,2505,7603,1995,30,1,1,0,3.8,76,49.2745,-123.0857,1378000
Hastings-Sunrise,House,4,3,2765,5482,1972,53,1,1,0,6.6,53,49.2741,-123.0513,1414000
West End,Townhouse,2,2,1451,1390,1997,28,1,0,1,0.5,87,49.2851,-123.134,920000
Riley Park,House,4,3,3434,6253,1986,39,1,0,1,6.9,61,49.2307,-123.102,1677000
Fairview,House,4,2,2847,5319,1998,27,1,1,0,3.0,92,49.2688,-123.1266,2127000
Kitsilano,Townhouse,2,2,1186,2031,1967,58,0,0,1,5.7,69,49.2709,-123.169,886000
Mount Pleasant,Condo,2,1,1340,0,2020,5,0,0,0,5.0,76,49.2584,-123.1009,812000
Killarney,House,3,2,3473,5261,2006,19,1,0,1,12.8,30,49.2203,-123.0394,1313000
Renfrew,Condo,1,1,1288,0,1957,68,0,0,1,9.9,50,49.2608,-123.0436,401000
Fairview,Condo,1,1,1059,0,2004,21,1,0,0,4.4,62,49.256,-123.1392,705000
Fairview,Townhouse,2,1,1402,1267,1930,95,0,0,0,2.7,88,49.2654,-123.1255,875000
Kerrisdale,Condo,1,1,1200,0,1971,54,1,0,0,9.0,57,49.233,-123.1572,871000
Yaletown,Townhouse,3,2,1000,2901,1974,51,1,0,0,3.0,92,49.2779,-123.1242,1159000
Shaughnessy,House,5,2,3481,4691,1991,34,1,0,0,6.8,60,49.2482,-123.1302,3025000
Shaughnessy,Condo,2,1,985,0,1958,67,1,0,1,5.8,73,49.2429,-123.146,1000000
Point Grey,Condo,2,1,1026,0,2012,13,0,0,0,9.4,39,49.2576,-123.2036,945000
Dunbar,House,5,2,2894,7429,2015,10,0,0,0,8.6,46,49.2431,-123.1881,2235000
Strathcona,Condo,1,1,1069,0,2005,20,0,0,0,1.8,82,49.2724,-123.0794,450000
Point Grey,Condo,2,1,945,0,1969,56,0,0,0,8.2,55,49.266,-123.2026,746000
Yaletown,House,3,2,3647,7909,1949,76,0,1,0,0.5,87,49.2775,-123.115,2159000
Hastings-Sunrise,Condo,2,1,932,0,2023,2,0,0,0,7.5,40,49.283,-123.0444,613000
Point Grey,Condo,2,1,1223,0,1968,57,1,0,0,8.6,42,49.2708,-123.2007,840000
Yaletown,House,3,2,2965,3423,1982,43,1,1,1,1.0,89,49.2758,-123.1224,2247000
Mount Pleasant,Townhouse,2,1,1774,2508,1934,91,0,0,0,3.5,77,49.2652,-123.0996,946000
Riley Park,Condo,1,1,1170,0,1985,40,1,0,1,5.5,62,49.2447,-123.1034,728000
Dunbar,House,3,2,2563,5795,1925,100,1,1,1,9.4,63,49.2446,-123.18,2097000
Oakridge,Townhouse,2,2,1370,1530,2005,20,1,0,0,5.4,46,49.2338,-123.128,1146000
Killarney,Condo,2,1,1034,0,2003,22,0,0,0,13.1,30,49.225,-123.0396,450000
Oakridge,Condo,1,1,870,0,1943,82,0,0,0,8.0,56,49.2254,-123.1135,598000
Killarney,House,3,2,2009,7092,2019,6,0,1,0,12.7,30,49.2208,-123.0418,1251000
Shaughnessy,Condo,1,1,982,0,1989,36,0,0,0,3.9,74,49.2457,-123.1278,952000
Yaletown,Condo,2,1,1019,0,1937,88,0,0,0,0.5,75,49.2825,-123.1254,849000
Shaughnessy,Townhouse,2,2,1509,1939,2011,14,0,0,0,6.3,50,49.2407,-123.1444,1389000
Yaletown,Condo,2,1,1028,0,1920,105,0,0,0,2.7,72,49.2732,-123.1177,777000
Kitsilano,House,3,3,2741,3316,2014,11,1,0,0,6.4,62,49.2822,-123.1598,1914000
Yaletown,House,3,2,3558,7015,1995,30,1,0,0,0.5,94,49.2796,-123.1236,2589000
Mount Pleasant,Condo,2,1,761,0,1928,97,0,0,0,5.4,55,49.2586,-123.1068,547000
Fairview,House,4,3,3341,5075,2002,23,0,1,0,3.0,82,49.2655,-123.1266,2072000
Grandview,Condo,2,1,769,0,1952,73,0,0,1,4.9,65,49.2772,-123.0747,533000
Marpole,Townhouse,3,1,1925,2058,1984,41,0,0,0,8.9,45,49.2049,-123.1274,732000
Riley Park,Condo,1,1,753,0,2016,9,1,0,1,5.8,58,49.2387,-123.0999,646000
Point Grey,Townhouse,3,2,1283,1967,1940,85,0,0,0,8.9,48,49.2724,-123.199,1207000
Killarney,Condo,1,1,662,0,1947,78,0,0,1,13.7,30,49.2238,-123.0466,350000
Kerrisdale,Condo,2,1,1077,0,1929,96,0,0,1,9.3,51,49.2296,-123.1559,867000
Dunbar,Townhouse,2,1,1552,2136,1962,63,0,0,1,11.2,34,49.2528,-123.1893,974000
Shaughnessy,Condo,2,1,881,0,1938,87,0,0,1,6.4,55,49.2539,-123.1426,852000
Oakridge,Townhouse,2,2,2064,2284,1989,36,0,0,1,5.6,63,49.2165,-123.1164,1265000
Marpole,Condo,2,1,1051,0,1954,71,0,0,1,8.8,36,49.2043,-123.1295,483000
Gastown,Condo,1,1,756,0,1974,51,0,0,1,1.8,80,49.2837,-123.0973,637000
Strathcona,Townhouse,3,2,1299,1407,1977,48,0,0,1,3.3,62,49.2801,-123.0852,729000
Riley Park,Townhouse,2,2,1390,1510,1927,98,0,0,1,4.9,67,49.2455,-123.1034,839000
Dunbar,Condo,1,1,1329,0,1996,29,0,0,0,8.3,38,49.2486,-123.1902,828000
Marpole,Condo,1,1,1251,0,1996,29,0,0,0,8.0,50,49.2083,-123.1271,507000
Marpole,Condo,1,1,450,0,1922,103,0,0,0,7.4,39,49.2118,-123.1407,354000
Kitsilano,Townhouse,3,1,1534,2444,2013,12,0,0,0,6.7,59,49.2674,-123.1713,1019000
Riley Park,Condo,1,1,564,0,2007,18,1,0,0,4.6,63,49.2387,-123.1147,588000
Point Grey,Condo,1,1,871,0,1933,92,0,0,0,8.5,54,49.2696,-123.2059,826000
Renfrew,Townhouse,2,1,1228,2160,2020,5,1,0,1,8.5,59,49.2508,-123.0413,741000
Dunbar,Townhouse,2,1,1738,2088,1962,63,0,0,1,10.7,42,49.2545,-123.1877,968000
Strathcona,Townhouse,3,1,1475,2263,1930,95,0,0,0,4.0,81,49.2833,-123.0872,599000
West End,Condo,1,1,488,0,1969,56,0,0,0,0.5,79,49.296,-123.1387,452000
Shaughnessy,Condo,1,1,594,0,1993,32,1,0,0,5.2,58,49.2363,-123.1369,885000
Kitsilano,Condo,1,1,688,0,1985,40,0,1,0,3.3,61,49.2691,-123.1655,765000
Grandview,House,4,2,3764,6271,2022,3,0,1,1,4.7,67,49.2741,-123.0705,2116000
Fairview,House,3,2,2551,3525,1962,63,1,1,0,3.5,77,49.2692,-123.1285,1961000
Kitsilano,House,3,2,3413,4413,2009,16,1,1,0,5.5,69,49.2661,-123.1575,2304000
Killarney,House,3,2,3718,5528,2004,21,1,0,1,13.1,30,49.2108,-123.0382,1243000
Killarney,House,4,3,4346,6496,1992,33,1,0,1,11.6,30,49.2305,-123.0477,1588000
Sunset,House,3,3,2750,4988,1948,77,1,1,0,11.1,30,49.2238,-123.0883,1301000
Grandview,House,5,2,4016,3882,2022,3,0,1,1,1.6,68,49.2789,-123.0632,2097000
Yaletown,Condo,2,1,866,0,1924,101,1,0,0,1.5,80,49.2713,-123.1248,892000
Gastown,Townhouse,2,2,1732,1989,2009,16,0,0,0,1.2,82,49.28,-123.1084,1043000
Fairview,Townhouse,3,2,1730,1496,2008,17,0,0,0,2.0,80,49.2683,-123.127,1070000
Kitsilano,Townhouse,2,1,1534,2827,1993,32,0,0,0,6.0,54,49.2662,-123.1618,1138000
West End,House,4,3,1800,4603,1955,70,1,1,1,1.3,85,49.2935,-123.136,1749000
Kitsilano,Condo,2,1,942,0,1960,65,0,0,1,6.7,53,49.2679,-123.1729,743000
Hastings-Sunrise,Townhouse,2,1,1000,2350,1975,50,0,0,0,6.5,53,49.2853,-123.0489,629000
Strathcona,Townhouse,3,1,1608,1745,1939,86,1,0,1,3.9,64,49.2702,-123.0728,810000
Shaughnessy,House,5,3,3620,3945,1965,60,1,1,1,5.0,75,49.2383,-123.1463,2856000
Renfrew,House,3,3,4399,7703,1956,69,1,1,1,9.8,33,49.2569,-123.0378,1541000
Kitsilano,Condo,1,1,908,0,1957,68,1,0,0,6.8,58,49.2585,-123.1671,651000
Hastings-Sunrise,House,3,2,2861,4254,1926,99,1,1,1,5.7,61,49.2754,-123.038,1407000
Kitsilano,Townhouse,2,1,1990,1344,1967,58,0,0,1,4.8,68,49.2714,-123.1591,1187000
West End,Condo,1,1,1010,0,2009,16,0,0,0,0.5,96,49.2839,-123.1302,692000
Grandview,House,4,3,3563,4951,1972,53,1,1,0,4.2,71,49.272,-123.0727,1745000
Riley Park,Townhouse,2,1,1519,2556,1952,73,0,0,0,7.4,59,49.2445,-123.1071,695000
Fairview,Condo,2,1,1158,0,1979,46,0,0,1,3.1,70,49.2646,-123.1245,808000
Coal Harbour,Townhouse,2,1,1128,2672,1989,36,0,1,0,2.2,85,49.2917,-123.1286,1339000
Marpole,Condo,2,1,931,0,2002,23,0,0,0,8.6,51,49.2173,-123.127,512000
Marpole,Condo,2,1,718,0,1972,53,1,0,1,8.0,54,49.2118,-123.1343,599000
Kitsilano,Condo,2,1,962,0,1991,34,0,0,1,6.6,59,49.2652,-123.1638,726000
Riley Park,Condo,1,1,887,0,1928,97,0,0,0,5.3,68,49.2477,-123.1044,561000
Mount Pleasant,House,5,2,2952,5500,1951,74,1,1,1,3.6,75,49.2654,-123.1029,1983000
Sunset,Condo,2,1,550,0,1987,38,0,0,0,8.8,59,49.234,-123.095,396000
Marpole,Condo,1,1,1400,0,2009,16,0,1,0,9.6,31,49.2029,-123.1345,564000
Gastown,House,4,3,3076,5711,1933,92,0,1,0,0.7,100,49.2792,-123.1011,1804000
Fairview,Condo,1,1,1397,0,1927,98,1,0,0,3.2,79,49.2616,-123.1231,770000
West End,Condo,1,1,997,0,1952,73,0,0,0,0.5,90,49.2881,-123.1277,694000
Point Grey,Townhouse,3,2,1503,1776,1936,89,0,0,1,7.0,49,49.2617,-123.1936,1339000
Strathcona,Condo,1,1,1139,0,1958,67,0,1,0,3.3,81,49.2721,-123.09,488000
Grandview,Condo,2,1,1395,0,2015,10,1,0,1,5.0,69,49.2791,-123.0652,812000
Marpole,Condo,1,1,840,0,2007,18,0,0,1,8.8,45,49.2148,-123.1264,507000
West End,Condo,1,1,800,0,1991,34,0,0,0,0.5,87,49.2842,-123.1221,704000
Yaletown,House,5,2,4133,5847,2011,14,0,1,0,1.8,82,49.2825,-123.1249,2704000
Dunbar,House,3,2,4370,6978,2002,23,1,0,0,9.9,30,49.2452,-123.1875,2103000
West End,House,4,3,3402,3273,1938,87,1,1,0,0.5,100,49.2929,-123.1348,1914000
Dunbar,Townhouse,2,2,1851,2214,2009,16,1,0,1,9.0,35,49.2445,-123.1817,1348000
Strathcona,Condo,1,1,1237,0,2011,14,0,0,0,3.2,74,49.2765,-123.0868,511000
Point Grey,House,5,2,3791,6123,1951,74,0,0,0,9.9,37,49.2638,-123.1961,1939000
West End,Condo,1,1,1091,0,1965,60,0,0,0,2.8,58,49.2926,-123.123,654000
Kitsilano,Condo,1,1,691,0,2016,9,1,0,0,6.2,53,49.2696,-123.1708,686000
Strathcona,House,5,3,3042,4149,2020,5,1,0,0,2.5,79,49.2783,-123.0839,1381000
Yaletown,Condo,1,1,863,0,1987,38,1,0,0,0.5,90,49.2732,-123.1271,797000
West End,Townhouse,3,1,1000,1625,1932,93,1,0,0,0.7,95,49.2808,-123.1341,974000
Dunbar,House,4,2,3605,5561,1956,69,1,1,1,8.9,43,49.2462,-123.1925,2120000
